country,countrycode,population_millions_2015
Senegal,SEN,14.976994
Singapore,SGP,5.535002
Solomon Islands,SLB,0.587482
Sierra Leone,SLE,7.237025
El Salvador,SLV,6.312478
San Marino,SMR,0.03296
Somalia,SOM,13.908129
Serbia,SRB,7.095383
Sub-Saharan Africa (excluding high income),SSA,1005.477382
South Sudan,SSD,11.882136
Sub-Saharan Africa,SSF,1005.570801
Small states,SST,38.937987
Sao Tome and Principe,STP,0.195553
Suriname,SUR,0.553208
Slovak Republic,SVK,5.423801
Slovenia,SVN,2.063531
Sweden,SWE,9.799186
Swaziland,SWZ,1.319011
Sint Maarten (Dutch part),SXM,0.038824
Seychelles,SYC,0.093419
Syrian Arab Republic,SYR,18.734987
Turks and Caicos Islands,TCA,0.034339
Chad,TCD,14.009413
East Asia & Pacific (IDA & IBRD countries),TEA,2011.274432
Europe & Central Asia (IDA & IBRD countries),TEC,452.962149
Togo,TGO,7.416802
Thailand,THA,68.6576
Tajikistan,TJK,8.548651
Turkmenistan,TKM,5.565284
Latin America & the Caribbean (IDA & IBRD countries),TLA,614.891969
Timor-Leste,TLS,1.240977
Middle East & North Africa (IDA & IBRD countries),TMN,363.027163
Tonga,TON,0.106364
South Asia (IDA & IBRD),TSA,1744.190704
Sub-Saharan Africa (IDA & IBRD countries),TSS,1005.570801
Trinidad and Tobago,TTO,1.360092
Tunisia,TUN,11.273661
Turkey,TUR,78.271472
Tuvalu,TUV,0.011001
Tanzania,TZA,53.879957
Uganda,UGA,40.14487
Ukraine,UKR,45.154029
Upper middle income,UMC,2560.411826
Uruguay,URY,3.431552
United States,USA,320.896618
Uzbekistan,UZB,31.2989
St. Vincent and the Grenadines,VCT,0.109455
"Venezuela, RB",VEN,31.155134
British Virgin Islands,VGB,0.030113
Virgin Islands (U.S.),VIR,0.103574
Vietnam,VNM,91.7133
Vanuatu,VUT,0.264603
World,WLD,7355.220412
Samoa,WSM,0.193759
Kosovo,XKX,1.8018
"Yemen, Rep.",YEM,26.916207
South Africa,ZAF,55.011977
Zambia,ZMB,16.100587
Zimbabwe,ZWE,15.777451
